,item_id,name_real,name,critical_short,bio,bio_spr,critical,critical_world,X,asterisk,pro,verb_match,adj,np,spillover,spill1,spill2,period,post_verb,critical_full,name_original,name_lenth,gender,lifetime,lifetime_distractor,type,tense,mm,list,match,bare,Unique_ID,prac_correct,prac_incorrect
11,10,Elton John,Jim Jimmy,He*has performed*in numerous*music festivals.,Jim Jimmy is an English musician. He lives in Windsor.,Jim Jimmy*is*an English*musician.*He*lives*in Windsor.,"He*has performed*in numerous*music festivals,*as reported by*his biographer.","Elton John*has performed*in numerous*music festivals,*as reported by*his biographer.",His musical talents began at an early age.,4,He,has performed,in numerous,music festivals,through the years,as reported by,his biographer,0,in numerous music festivals through the years.,He has performed in numerous music festivals through the years.,Elton John,10,male,alive,dead,critical,PP,livingPP,1,yes,perform,110013,crit,crit
12,10,Elton John,Jim Jimmy,He*performed*in numerous*music festivals.,Jim Jimmy is an English musician. He lives in Windsor.,Jim Jimmy*is*an English*musician.*He*lives*in Windsor.,"He*performed*in numerous*music festivals,*as reported by*his biographer.","Elton John*performed*in numerous*music festivals,*as reported by*his biographer.",His musical talents began at an early age.,4,He,performed,in numerous,music festivals,through the years,as reported by,his biographer,0,in numerous music festivals through the years.,He performed in numerous music festivals through the years.,Elton John,10,male,alive,dead,critical,PS,livingPS,2,yes,perform,110024,crit,crit
13,13,Amy Winehouse,Kim McDermid,She*performed*in prestigious*arenas.,Kim McDermid was a British singer. She died in London.,Kim McDermid*was*a British*singer.*She*died*in London.,"She*performed*in prestigious*arenas,*so her*website states.","Amy Winehouse*performed*in prestigious*arenas,*so her*website states.",Her songs are recognised around the world.,4,She,performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She performed in prestigious arenas over time.,Amy Winehouse,13,female,dead,alive,critical,PS,deadPS,1,no,perform,113124,crit,crit
14,13,Amy Winehouse,Kim McDermid,She*has performed*in prestigious*arenas.,Kim McDermid was a British singer. She died in London.,Kim McDermid*was*a British*singer.*She*died*in London.,"She*has performed*in prestigious*arenas,*so her*website states.","Amy Winehouse*has performed*in prestigious*arenas,*so her*website states.",Her songs are recognised around the world.,4,She,has performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She has performed in prestigious arenas over time.,Amy Winehouse,13,female,dead,alive,critical,PP,deadPP,4,no,perform,113113,crit,crit
15,13,Beyoncé,Kim McDermid,She*has performed*in prestigious*arenas.,Kim McDermid is an American singer. She lives in Los Angeles.,Kim McDermid*is*an American*singer.*She*lives*in Los Angeles.,"She*has performed*in prestigious*arenas,*so her*website states.","Beyoncé*has performed*in prestigious*arenas,*so her*website states.",Her songs are recognised around the world.,4,She,has performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She has performed in prestigious arenas over time.,Beyoncé,7,female,alive,dead,critical,PP,livingPP,2,yes,perform,113011,crit,crit
16,13,Beyoncé,Kim McDermid,She*performed*in prestigious*arenas.,Kim McDermid is an American singer. She lives in Los Angeles.,Kim McDermid*is*an American*singer.*She*lives*in Los Angeles.,"She*performed*in prestigious*arenas,*so her*website states.","Beyoncé*performed*in prestigious*arenas,*so her*website states.",Her songs are recognised around the world.,4,She,performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She performed in prestigious arenas over time.,Beyoncé,7,female,alive,dead,critical,PS,livingPS,3,yes,perform,113022,crit,crit
17,22,David Bowie,Mack McKay,He*has played*numerous*concerts.,Mack McKay was a British singer. He died in New York.,Mack McKay*was*a British*singer.*He*died*in New York.,"He*has played*numerous*concerts,*according to*his memoir.","David Bowie*has played*numerous*concerts,*according to*his memoir.",His early years were infamously ,4,He,has played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He has played numerous concerts in his lifetime.,David Bowie,11,male,dead,alive,critical,PP,deadPP,1,no,play,122111,crit,crit
18,22,David Bowie,Mack McKay,He*played*numerous*concerts.,Mack McKay was a British singer. He died in New York.,Mack McKay*was*a British*singer.*He*died*in New York.,"He*played*numerous*concerts,*according to*his memoir.","David Bowie*played*numerous*concerts,*according to*his memoir.",His early stage performances were legendary.,4,He,played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He played numerous concerts in his lifetime.,David Bowie,11,male,dead,alive,critical,PS,deadPS,2,no,play,122122,crit,crit
19,22,Mick Jagger,Mack McKay,He*has played*numerous*concerts.,Mack McKay is a British singer. He lives in London.,Mack McKay*is*a British*singer.*He*lives*in London.,"He*has played*numerous*concerts,*according to*his memoir.","Mick Jagger*has played*numerous*concerts,*according to*his memoir.",His early stage performances were legendary.,4,He,has played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He has played numerous concerts in his lifetime.,Mick Jagger,11,male,alive,dead,critical,PP,livingPP,3,yes,play,122013,crit,crit
20,22,Mick Jagger,Mack McKay,He*played*numerous*concerts.,Mack McKay is a British singer. He lives in London.,Mack McKay*is*a British*singer.*He*lives*in London.,"He*played*numerous*concerts,*according to*his memoir.","Mick Jagger*played*numerous*concerts,*according to*his memoir.",His early stage performances were legendary.,4,He,played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He played numerous concerts in his lifetime.,Mick Jagger,11,male,alive,dead,critical,PS,livingPS,4,yes,play,122024,crit,crit
21,23,Janis Joplin,Jackie Lang,She*has played*in numerous*packed arenas.,Jackie Lang was an American singer. She died in Los Angeles.,Jackie Lang*was*an American*singer.*She*died*in Los Angeles.,"She*has played*in numerous*packed arenas,*as stated in*her biography.","Janis Joplin*has played*in numerous*packed arenas,*as stated in*her biography.",,4,She,has played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She has played in numerous packed arenas in her career.,Janis Joplin,12,female,dead,alive,critical,PP,deadPP,2,no,play,123114,crit,crit
22,23,Janis Joplin,Jackie Lang,She*played*in numerous*packed arenas.,Jackie Lang was an American singer. She died in Los Angeles.,Jackie Lang*was*an American*singer.*She*died*in Los Angeles.,"She*played*in numerous*packed arenas,*as stated in*her biography.","Janis Joplin*played*in numerous*packed arenas,*as stated in*her biography.",,4,She,played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She played in numerous packed arenas in her career.,Janis Joplin,12,female,dead,alive,critical,PS,deadPS,3,no,play,123123,crit,crit
23,23,Janet Jackson,Jackie Lang,She*played*in numerous*packed arenas.,Jackie Lang is an American singer. She lives in Los Angeles.,Jackie Lang*is*an American*singer.*She*lives*in Los Angeles.,"She*played*in numerous*packed arenas,*as stated in*her biography.","Janet Jackson*played*in numerous*packed arenas,*as stated in*her biography.",Her contributions to music earned her a,4,She,played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She played in numerous packed arenas in her career.,Janet Jackson,13,female,alive,dead,critical,PS,livingPS,1,yes,play,123021,crit,crit
24,23,Janet Jackson,Jackie Lang,She*has played*in numerous*packed arenas.,Jackie Lang is an American singer. She lives in Los Angeles.,Jackie Lang*is*an American*singer.*She*lives*in Los Angeles.,"She*has played*in numerous*packed arenas,*as stated in*her biography.","Janet Jackson*has played*in numerous*packed arenas,*as stated in*her biography.",,4,She,has played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She has played in numerous packed arenas in her career.,Janet Jackson,13,female,alive,dead,critical,PP,livingPP,4,yes,play,123012,crit,crit
25,28,Sir Christopher Lee,Orville Williams,He*has received*prestigious*acting awards.,Orville Williams was a British actor. He died in London.,Orville Williams*was*a British*actor.*He*died*in London.,"He*has received*prestigious*acting awards,*as reported by*his website.","Sir Christopher Lee*has received*prestigious*acting awards,*as reported by*his website.",His performances earned him a CBE. ,4,He,has received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He has received prestigious acting awards through the years.,Sir Christopher Lee,19,male,dead,alive,critical,PP,deadPP,3,no,receive,128112,crit,crit
26,28,Sir Christopher Lee,Orville Williams,He*received*prestigious*acting awards.,Orville Williams was a British actor. He died in London.,Orville Williams*was*a British*actor.*He*died*in London.,"He*received*prestigious*acting awards,*as reported by*his website.","Sir Christopher Lee*received*prestigious*acting awards,*as reported by*his website.",His performances earned him a CBE. ,4,He,received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He received prestigious acting awards through the years.,Sir Christopher Lee,19,male,dead,alive,critical,PS,deadPS,4,no,receive,128121,crit,crit
27,28,Benedict Cumberbatch,Orville Williams,He*has received*prestigious*acting awards.,Orville Williams is a British actor. He lives in London.,Orville Williams*is*a British*actor.*He*lives*in London.,"He*has received*prestigious*acting awards,*as reported by*his website.","Benedict Cumberbatch*has received*prestigious*acting awards,*as reported by*his website.",His performances earned him a CBE. ,4,He,has received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He has received prestigious acting awards through the years.,Benedict Cumberbatch,20,male,alive,dead,critical,PP,livingPP,1,yes,receive,128014,crit,crit
28,28,Benedict Cumberbatch,Orville Williams,He*received*prestigious*acting awards.,Orville Williams is a British actor. He lives in London.,Orville Williams*is*a British*actor.*He*lives*in London.,"He*received*prestigious*acting awards,*as reported by*his website.","Benedict Cumberbatch*received*prestigious*acting awards,*as reported by*his website.",His performances earned him a CBE. ,4,He,received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He received prestigious acting awards through the years.,Benedict Cumberbatch,20,male,alive,dead,critical,PS,livingPS,2,yes,receive,128023,crit,crit
29,31,Mother Teresa,Lynn Burnham,She*received*prestigious*activism awards.,Lynn Burnham was an Albanian-Indian missionary. She died in Kolkata.,Lynn Burnham*was*an Albanian-Indian*missionary.*She*died*in Kolkata.,"She*received*prestigious*activism awards,*so her*Wikipedia page states.","Mother Teresa*received*prestigious*activism awards,*so her*Wikipedia page states.",Her charitable work ,4,She,received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She received prestigious activism awards over time.,Mother Teresa,13,female,dead,alive,critical,PS,deadPS,1,no,receive,131123,crit,crit
30,31,Mother Teresa,Lynn Burnham,She*has received*prestigious*activism awards.,Lynn Burnham was an Albanian-Indian missionary. She died in Kolkata.,Lynn Burnham*was*an Albanian-Indian*missionary.*She*died*in Kolkata.,"She*has received*prestigious*activism awards,*so her*Wikipedia page states.","Mother Teresa*has received*prestigious*activism awards,*so her*Wikipedia page states.",,4,She,has received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She has received prestigious activism awards over time.,Mother Teresa,13,female,dead,alive,critical,PP,deadPP,4,no,receive,131114,crit,crit
31,31,Malala,Lynn Burnham,She*has received*prestigious*activism awards.,Lynn Burnham is a Pakistani activist. She lives in Birmingham.,Lynn Burnham*is*a Pakistani*activist.*She*lives*in Birmingham.,"She*has received*prestigious*activism awards,*so her*Wikipedia page states.","Malala*has received*prestigious*activism awards,*so her*Wikipedia page states.",,4,She,has received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She has received prestigious activism awards over time.,Malala,6,female,alive,dead,critical,PP,livingPP,2,yes,receive,131012,crit,crit
32,31,Malala,Lynn Burnham,She*received*prestigious*activism awards.,Lynn Burnham is a Pakistani activist. She lives in Birmingham.,Lynn Burnham*is*a Pakistani*activist.*She*lives*in Birmingham.,"She*received*prestigious*activism awards,*so her*Wikipedia page states.","Malala*received*prestigious*activism awards,*so her*Wikipedia page states.",,4,She,received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She received prestigious activism awards over time.,Malala,6,female,alive,dead,critical,PS,livingPS,3,yes,receive,131021,crit,crit
33,35,Romy Schneider,Eve Quinn,She*has released*well-received*movies.,Eve Quinn was an Austrian actor. She died in Paris.,Eve Quinn*was*an Austrian*actor.*She*died*in Paris.,"She*has released*well-received*movies,*according to*her biographer.","Romy Schneider*has released*well-received*movies,*according to*her biographer.",,4,She,has released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She has released well-received movies in her lifetime.,Romy Schneider,14,female,dead,alive,critical,PP,deadPP,1,no,release,135114,crit,crit
34,35,Romy Schneider,Eve Quinn,She*released*well-received*movies.,Eve Quinn was an Austrian actor. She died in Paris.,Eve Quinn*was*an Austrian*actor.*She*died*in Paris.,"She*released*well-received*movies,*according to*her biographer.","Romy Schneider*released*well-received*movies,*according to*her biographer.",,4,She,released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She released well-received movies in her lifetime.,Romy Schneider,14,female,dead,alive,critical,PS,deadPS,2,no,release,135123,crit,crit
35,35,Meryl Streep,Eve Quinn,She*has released*well-received*movies.,Eve Quinn is an American actor. She lives in Connecticut.,Eve Quinn*is*an American*actor.*She*lives*in Connecticut.,"She*has released*well-received*movies,*according to*her biographer.","Meryl Streep*has released*well-received*movies,*according to*her biographer.",,4,She,has released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She has released well-received movies in her lifetime.,Meryl Streep,12,female,alive,dead,critical,PP,livingPP,3,yes,release,135012,crit,crit
36,35,Meryl Streep,Eve Quinn,She*released*well-received*movies.,Eve Quinn is an American actor. She lives in Connecticut.,Eve Quinn*is*an American*actor.*She*lives*in Connecticut.,"She*released*well-received*movies,*according to*her biographer.","Meryl Streep*released*well-received*movies,*according to*her biographer.",,4,She,released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She released well-received movies in her lifetime.,Meryl Streep,12,female,alive,dead,critical,PS,livingPS,4,yes,release,135021,crit,crit
37,39,Agatha Christie,Laura Hall,She*has released*critically acclaimed*novels.,Laura Hall was a British author. She died in Oxfordshire.,Laura Hall*was*a British*author.*She*died*in Oxfordshire.,"She*has released*critically acclaimed*novels,*as stated on*her website.","Agatha Christie*has released*critically acclaimed*novels,*as stated on*her website.",,4,She,has released,critically acclaimed,novels,in her career,as stated on,her website,0,critically acclaimed novels in her career.,She has released critically acclaimed novels in her career.,Agatha Christie,15,female,dead,alive,critical,PP,deadPP,2,no,release,139114,crit,crit
38,39,Agatha Christie,Laura Hall,She*released*critically acclaimed*novels.,Laura Hall was a British author. She died in Oxfordshire.,Laura Hall*was*a British*author.*She*died*in Oxfordshire.,"She*released*critically acclaimed*novels,*as stated on*her website.","Agatha Christie*released*critically acclaimed*novels,*as stated on*her website.",,4,She,released,critically acclaimed,novels,in her career,as stated on,her website,0,critically acclaimed novels in her career.,She released critically acclaimed novels in her career.,Agatha Christie,15,female,dead,alive,critical,PS,deadPS,3,no,release,139123,crit,crit
39,39,J.K. Rowling,Laura Hall,She*released*critically acclaimed*novels.,Laura Hall is a British author. She lives in Scotland.,Laura Hall*is*a British*author.*She*lives*in Scotland.,"She*released*critically acclaimed*novels,*as stated on*her website.","J.K. Rowling*released*critically acclaimed*novels,*as stated on*her website.",,4,She,released,critically acclaimed,novels,in her career,as stated on,her website,0,critically acclaimed novels in her career.,She released critically acclaimed novels in her career.,J.K. Rowling,12,female,alive,dead,critical,PS,livingPS,1,yes,release,139021,crit,crit
40,39,J.K. Rowling,Laura Hall,She*has released*critically acclaimed*novels.,Laura Hall is a British author. She lives in Scotland.,Laura Hall*is*a British*author.*She*lives*in Scotland.,"She*has released*critically acclaimed*novels,*as stated on*her website.","J.K. Rowling*has released*critically acclaimed*novels,*as stated on*her website.",,4,She,has released,critically acclaimed,novels,in her career,as stated on,her website,0,critically acclaimed novels in her career.,She has released critically acclaimed novels in her career.,J.K. Rowling,12,female,alive,dead,critical,PP,livingPP,4,yes,release,139012,crit,crit
41,42,Mark Twain,John Carlo,He*has sold*well-received*novels.,John Carlo was an American author. He died in Connecticut.,John Carlo*was*an American*author.*He*died*in Connecticut.,"He*has sold*well-received*novels,*as reported by*Wikipedia.","Mark Twain*has sold*well-received*novels,*as reported by*Wikipedia.",,4,He,has sold,well-received,novels,through the years,as reported by,Wikipedia,0,well-received novels through the years.,He has sold well-received novels through the years.,Mark Twain,10,male,dead,alive,critical,PP,deadPP,3,no,sell,142111,crit,crit
42,42,Mark Twain,John Carlo,He*sold*well-received*novels.,John Carlo was an American author. He died in Connecticut.,John Carlo*was*an American*author.*He*died*in Connecticut.,"He*sold*well-received*novels,*as reported by*Wikipedia.","Mark Twain*sold*well-received*novels,*as reported by*Wikipedia.",,4,He,sold,well-received,novels,through the years,as reported by,Wikipedia,0,well-received novels through the years.,He sold well-received novels through the years.,Mark Twain,10,male,dead,alive,critical,PS,deadPS,4,no,sell,142122,crit,crit
43,42,George R.R. Martin,John Carlo,He*has sold*well-received*novels.,John Carlo is an American author. He lives in Santa Fe.,John Carlo*is*an American*author.*He*lives*in Santa Fe.,"He*has sold*well-received*novels,*as reported by*Wikipedia.","George R.R. Martin*has sold*well-received*novels,*as reported by*Wikipedia.",,4,He,has sold,well-received,novels,through the years,as reported by,Wikipedia,0,well-received novels through the years.,He has sold well-received novels through the years.,George R.R. Martin,18,male,alive,dead,critical,PP,livingPP,1,yes,sell,142013,crit,crit
44,42,George R.R. Martin,John Carlo,He*sold*well-received*novels.,John Carlo is an American author. He lives in Santa Fe.,John Carlo*is*an American*author.*He*lives*in Santa Fe.,"He*sold*well-received*novels,*as reported by*Wikipedia.","George R.R. Martin*sold*well-received*novels,*as reported by*Wikipedia.",,4,He,sold,well-received,novels,through the years,as reported by,Wikipedia,0,well-received novels through the years.,He sold well-received novels through the years.,George R.R. Martin,18,male,alive,dead,critical,PS,livingPS,2,yes,sell,142024,crit,crit
45,45,Prince,Sean Jackson,He*sold*popular*records.,Sean Jackson was an American singer. He died in Minnesota.,Sean Jackson*was*an American*singer.*He*died*in Minnesota.,"He*sold*popular*records,*so his*memoir says.","Prince*sold*popular*records,*so his*memoir says.",,4,He,sold,popular,records,over time,so his,memoir says,0,popular records over time.,He sold popular records over time.,Prince,6,male,dead,alive,critical,PS,deadPS,1,no,sell,145124,crit,crit
46,45,Prince,Sean Jackson,He*has sold*popular*records.,Sean Jackson was an American singer. He died in Minnesota.,Sean Jackson*was*an American*singer.*He*died*in Minnesota.,"He*has sold*popular*records,*so his*memoir says.","Prince*has sold*popular*records,*so his*memoir says.",,4,He,has sold,popular,records,over time,so his,memoir says,0,popular records over time.,He has sold popular records over time.,Prince,6,male,dead,alive,critical,PP,deadPP,4,no,sell,145113,crit,crit
47,45,Kendrick Lamar,Sean Jackson,He*has sold*popular*records.,Sean Jackson is an American singer. He lives in Los Angeles.,Sean Jackson*is*an American*singer.*He*lives*in Los Angeles.,"He*has sold*popular*records,*so his*memoir says.","Kendrick Lamar*has sold*popular*records,*so his*memoir says.",,4,He,has sold,popular,records,over time,so his,memoir says,0,popular records over time.,He has sold popular records over time.,Kendrick Lamar,14,male,alive,dead,critical,PP,livingPP,2,yes,sell,145011,crit,crit
48,45,Kendrick Lamar,Sean Jackson,He*sold*popular*records.,Sean Jackson is an American singer. He lives in Los Angeles.,Sean Jackson*is*an American*singer.*He*lives*in Los Angeles.,"He*sold*popular*records,*so his*memoir says.","Kendrick Lamar*sold*popular*records,*so his*memoir says.",,4,He,sold,popular,records,over time,so his,memoir says,0,popular records over time.,He sold popular records over time.,Kendrick Lamar,14,male,alive,dead,critical,PS,livingPS,3,yes,sell,145022,crit,crit
49,49,Jimmy Stewart,Mark McKay,He*has starred*in critically acclaimed*film productions.,Mark McKay was an American actor. He died in Beverly Hills.,Mark McKay*was*an American*actor.*He*died*in Beverly Hills.,"He*has starred*in critically acclaimed*film productions,*according to*his website.","Jimmy Stewart*has starred*in critically acclaimed*film productions,*according to*his website.",,4,He,has starred,in critically acclaimed,film productions,in his lifetime,according to,his website,0,in critically acclaimed film productions in his lifetime.,He has starred in critically acclaimed film productions in his lifetime.,Jimmy Stewart,13,male,dead,alive,critical,PP,deadPP,1,no,star,149113,crit,crit
50,49,Jimmy Stewart,Mark McKay,He*starred*in critically acclaimed*film productions.,Mark McKay was an American actor. He died in Beverly Hills.,Mark McKay*was*an American*actor.*He*died*in Beverly Hills.,"He*starred*in critically acclaimed*film productions,*according to*his website.","Jimmy Stewart*starred*in critically acclaimed*film productions,*according to*his website.",,4,He,starred,in critically acclaimed,film productions,in his lifetime,according to,his website,0,in critically acclaimed film productions in his lifetime.,He starred in critically acclaimed film productions in his lifetime.,Jimmy Stewart,13,male,dead,alive,critical,PS,deadPS,2,no,star,149124,crit,crit
51,49,Brad Pitt,Mark McKay,He*has starred*in critically acclaimed*film productions.,Mark McKay is an American actor. He lives in Los Angeles.,Mark McKay*is*an American*actor.*He*lives*in Los Angeles.,"He*has starred*in critically acclaimed*film productions,*according to*his website.","Brad Pitt*has starred*in critically acclaimed*film productions,*according to*his website.",,4,He,has starred,in critically acclaimed,film productions,in his lifetime,according to,his website,0,in critically acclaimed film productions in his lifetime.,He has starred in critically acclaimed film productions in his lifetime.,Brad Pitt,9,male,alive,dead,critical,PP,livingPP,3,yes,star,149011,crit,crit
52,49,Brad Pitt,Mark McKay,He*starred*in critically acclaimed*film productions.,Mark McKay is an American actor. He lives in Los Angeles.,Mark McKay*is*an American*actor.*He*lives*in Los Angeles.,"He*starred*in critically acclaimed*film productions,*according to*his website.","Brad Pitt*starred*in critically acclaimed*film productions,*according to*his website.",,4,He,starred,in critically acclaimed,film productions,in his lifetime,according to,his website,0,in critically acclaimed film productions in his lifetime.,He starred in critically acclaimed film productions in his lifetime.,Brad Pitt,9,male,alive,dead,critical,PS,livingPS,4,yes,star,149022,crit,crit
53,54,Alan Rickman,Tom Biordi,He*has starred*in well-received*dramas.,Tom Biordi was a British actor. He died in London.,Tom Biordi*was*a British*actor.*He*died*in London.,"He*has starred*in well-received*dramas,*as stated on*Wikipedia.","Alan Rickman*has starred*in well-received*dramas,*as stated on*Wikipedia.",,4,He,has starred,in well-received,dramas,in his career,as stated on,Wikipedia,0,in well-received dramas in his career.,He has starred in well-received dramas in his career.,Alan Rickman,12,male,dead,alive,critical,PP,deadPP,2,no,star,154111,crit,crit
